Team,Australia,Bahrain,China,Russia,Spain,Monaco,Canada,Europe,Austria,Great Britain,Hungary,Germany,Belgium,Italy,Singapore,Malaysia,Japan,USA,Mexico,Brazil,Abu Dhabi
Mercedes,43,40,31,43,0,31,35,35,37,40,43,37,40,43,40,15,40,43,43,43,43
Red Bull,12,18,27,0,37,18,18,10,28,30,25,33,18,16,26,43,26,15,27,19,22
Ferrari,15,18,28,15,33,12,26,30,15,12,20,18,10,27,22,12,22,12,18,10,23
Force India,6,0,0,2,6,23,5,17,0,14,1,7,22,5,4,12,10,4,7,18,10
Williams,14,6,9,22,14,1,15,9,2,0,2,2,5,10,0,10,3,6,6,0,2
McLaren,0,1,0,9,2,12,0,0,8,0,6,4,6,0,6,8,0,12,0,1,1
Toro Rosso,3,8,6,0,9,4,2,0,4,5,4,0,0,0,2,0,0,8,0,8,0
Haas,8,10,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
Renault,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sauber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Manor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0