Date,Away,Points,Home,Points
Feb. 20,Miami Heat,114,Washington Wizards,94
Feb. 20,Minnesota Timberwolves,95,New York Knicks,103
Feb. 21,Brooklyn Nets,96,Charlotte Hornets,104
Feb. 21,Chicago Bulls,126,Los Angeles Lakers,115
Feb. 21,Dallas Mavericks,129,Philadelphia 76ers,103
Feb. 21,Denver Nuggets,101,Boston Celtics,121
Feb. 21,Detroit Pistons,106,New Orleans Pelicans,111
Feb. 21,Oklahoma City Thunder,92,Cleveland Cavaliers,115
Feb. 21,Orlando Magic,102,Indiana Pacers,105
Feb. 21,Phoenix Suns,111,San Antonio Spurs,118
Feb. 21,Portland Trail Blazers,115,Utah Jazz,111
Feb. 21,Toronto Raptors,98,Memphis Grizzlies,85
Feb. 22,Atlanta Hawks,92,Golden State Warriors,102
Feb. 22,Cleveland Cavaliers,88,Detroit Pistons,96
Feb. 22,Los Angeles Clippers,124,Phoenix Suns,84
Feb. 22,Miami Heat,101,Indiana Pacers,93
Feb. 22,Milwaukee Bucks,108,Los Angeles Lakers,101
Feb. 22,Minnesota Timberwolves,124,Boston Celtics,122
Feb. 22,New York Knicks,95,Toronto Raptors,122
Feb. 23,Denver Nuggets,110,Sacramento Kings,114
Feb. 23,Philadelphia 76ers,115,Orlando Magic,124
Feb. 23,Portland Trail Blazers,112,Brooklyn Nets,104
Feb. 23,Utah Jazz,117,Houston Rockets,114
Feb. 23,Washington Wizards,109,New Orleans Pelicans,89
Feb. 24,Chicago Bulls,109,Washington Wizards,104
Feb. 24,Cleveland Cavaliers,114,Charlotte Hornets,103
Feb. 24,Dallas Mavericks,103,Oklahoma City Thunder,116
Feb. 24,Detroit Pistons,111,Philadelphia 76ers,91
Feb. 24,Indiana Pacers,108,New York Knicks,105
Feb. 24,Los Angeles Clippers,81,Denver Nuggets,87
Feb. 24,Memphis Grizzlies,128,Los Angeles Lakers,119
Feb. 24,Miami Heat,112,Golden State Warriors,118
Feb. 24,Sacramento Kings,92,San Antonio Spurs,108
Feb. 24,Toronto Raptors,114,Minnesota Timberwolves,105
Feb. 25,Boston Celtics,112,Milwaukee Bucks,107
Feb. 25,New Orleans Pelicans,123,Oklahoma City Thunder,119
Feb. 25,Orlando Magic,114,Golden State Warriors,130
Feb. 25,Phoenix Suns,106,Brooklyn Nets,116
Feb. 25,Portland Trail Blazers,105,Houston Rockets,119
Feb. 25,Utah Jazz,78,San Antonio Spurs,96
Feb. 26,Atlanta Hawks,103,Chicago Bulls,88
Feb. 26,Dallas Mavericks,122,Denver Nuggets,116
Feb. 26,Indiana Pacers,95,Charlotte Hornets,96
Feb. 26,Los Angeles Lakers,95,Memphis Grizzlies,112
Feb. 26,New York Knicks,108,Orlando Magic,95
Feb. 26,Philadelphia 76ers,94,Washington Wizards,103
Feb. 26,Sacramento Kings,107,Los Angeles Clippers,117
Feb. 26,Toronto Raptors,99,Cleveland Cavaliers,97
Feb. 27,Boston Celtics,101,Miami Heat,89
Feb. 27,Chicago Bulls,95,Portland Trail Blazers,103
Feb. 27,Houston Rockets,94,San Antonio Spurs,104
Feb. 27,Milwaukee Bucks,91,Detroit Pistons,102
Feb. 27,New Orleans Pelicans,110,Minnesota Timberwolves,112
Feb. 27,Oklahoma City Thunder,118,Golden State Warriors,121
Feb. 27,Phoenix Suns,111,Memphis Grizzlies,106
Feb. 27,Utah Jazz,96,Brooklyn Nets,98
Feb. 28,Atlanta Hawks,87,Charlotte Hornets,76
Feb. 28,Dallas Mavericks,128,Minnesota Timberwolves,101
Feb. 28,Detroit Pistons,114,Toronto Raptors,101
Feb. 28,Indiana Pacers,102,Portland Trail Blazers,111
Feb. 28,New York Knicks,81,Miami Heat,98
Feb. 28,Orlando Magic,130,Philadelphia 76ers,116
Feb. 28,Washington Wizards,113,Cleveland Cavaliers,99
Feb. 29,Boston Celtics,100,Utah Jazz,95
Feb. 29,Cleveland Cavaliers,100,Indiana Pacers,96
Feb. 29,Denver Nuggets,96,Memphis Grizzlies,103
Feb. 29,Los Angeles Clippers,105,Brooklyn Nets,95
Feb. 29,Milwaukee Bucks,128,Houston Rockets,121
Feb. 29,Sacramento Kings,116,Oklahoma City Thunder,131
Feb. 29,Washington Wizards,116,Philadelphia 76ers,108
Mar. 1,Charlotte Hornets,126,Phoenix Suns,92
Mar. 1,Dallas Mavericks,121,Orlando Magic,108
Mar. 1,Golden State Warriors,109,Atlanta Hawks,105
Mar. 1,Los Angeles Lakers,107,Brooklyn Nets,101
Mar. 1,Miami Heat,129,Chicago Bulls,111
Mar. 1,New York Knicks,85,Portland Trail Blazers,104
Mar. 2,Boston Celtics,116,Portland Trail Blazers,93
Mar. 2,Denver Nuggets,117,Los Angeles Lakers,107
Mar. 2,Houston Rockets,100,New Orleans Pelicans,95
Mar. 2,Los Angeles Clippers,103,Oklahoma City Thunder,98
Mar. 2,Memphis Grizzlies,104,Sacramento Kings,98
Mar. 2,Milwaukee Bucks,99,Indiana Pacers,104
Mar. 2,Minnesota Timberwolves,98,Washington Wizards,104
Mar. 2,Orlando Magic,102,Chicago Bulls,89
Mar. 2,Philadelphia 76ers,99,Charlotte Hornets,119
Mar. 2,San Antonio Spurs,97,Detroit Pistons,81
Mar. 2,Toronto Raptors,104,Utah Jazz,94
Mar. 3,Dallas Mavericks,101,Sacramento Kings,104
Mar. 3,Golden State Warriors,121,Oklahoma City Thunder,106
Mar. 3,Miami Heat,108,Phoenix Suns,92
Mar. 3,New Orleans Pelicans,86,San Antonio Spurs,94
Mar. 4,Boston Celtics,105,New York Knicks,104
Mar. 4,Charlotte Hornets,108,Indiana Pacers,101
Mar. 4,Cleveland Cavaliers,108,Washington Wizards,83
Mar. 4,Denver Nuggets,120,Brooklyn Nets,121
Mar. 4,Los Angeles Lakers,77,Atlanta Hawks,106
Mar. 4,Memphis Grizzlies,94,Utah Jazz,88
Mar. 4,Milwaukee Bucks,116,Minnesota Timberwolves,101
Mar. 4,Orlando Magic,84,Phoenix Suns,102
Mar. 4,Philadelphia 76ers,102,Miami Heat,112
Mar. 4,Toronto Raptors,117,Portland Trail Blazers,115
Mar. 5,Chicago Bulls,108,Houston Rockets,100
Mar. 5,Cleveland Cavaliers,120,Boston Celtics,103
Mar. 5,Los Angeles Clippers,97,Atlanta Hawks,107
Mar. 5,Minnesota Timberwolves,132,Brooklyn Nets,118
Mar. 5,New Orleans Pelicans,94,Utah Jazz,106
Mar. 5,New York Knicks,102,Detroit Pistons,89
Mar. 5,San Antonio Spurs,104,Sacramento Kings,94
Mar. 5,Washington Wizards,99,Indiana Pacers,100
Mar. 6,Denver Nuggets,116,Dallas Mavericks,114
Mar. 6,Detroit Pistons,123,Portland Trail Blazers,103
Mar. 6,Los Angeles Lakers,112,Golden State Warriors,95
Mar. 6,Memphis Grizzlies,100,Phoenix Suns,109
Mar. 6,Miami Heat,103,Philadelphia 76ers,98
Mar. 6,Milwaukee Bucks,96,Oklahoma City Thunder,104
Mar. 6,Toronto Raptors,107,Houston Rockets,113
Mar. 7,Chicago Bulls,100,Milwaukee Bucks,90
Mar. 7,Charlotte Hornets,108,Minnesota Timberwolves,103
Mar. 7,Cleveland Cavaliers,103,Memphis Grizzlies,106
Mar. 7,Dallas Mavericks,90,Los Angeles Clippers,109
Mar. 7,Golden State Warriors,119,Orlando Magic,113
Mar. 7,Indiana Pacers,99,San Antonio Spurs,91
Mar. 7,New Orleans Pelicans,115,Sacramento Kings,112
Mar. 8,Denver Nuggets,110,New York Knicks,94
Mar. 8,Los Angeles Lakers,107,Orlando Magic,98
Mar. 8,Minnesota Timberwolves,91,San Antonio Spurs,116
Mar. 8,Portland Trail Blazers,116,Washington Wizards,109
Mar. 8,Toronto Raptors,104,Brooklyn Nets,99
Mar. 8,Utah Jazz,84,Atlanta Hawks,91
Mar. 9,Boston Celtics,116,Memphis Grizzlies,96
Mar. 9,Charlotte Hornets,122,New Orleans Pelicans,113
Mar. 9,Dallas Mavericks,96,Detroit Pistons,102
Mar. 9,Golden State Warriors,115,Utah Jazz,94
Mar. 9,Milwaukee Bucks,114,Miami Heat,108
Mar. 9,Oklahoma City Thunder,120,Los Angeles Clippers,108
Mar. 9,Philadelphia 76ers,104,Houston Rockets,118
Mar. 9,Phoenix Suns,97,New York Knicks,128
Mar. 9,Sacramento Kings,111,Cleveland Cavaliers,120
Mar. 10,Denver Nuggets,116,Phoenix Suns,98
Mar. 10,Los Angeles Lakers,108,Cleveland Cavaliers,120
Mar. 10,San Antonio Spurs,109,Chicago Bulls,101
Mar. 10,Toronto Raptors,104,Atlanta Hawks,96
Mar. 11,Boston Celtics,98,Houston Rockets,102
Mar. 11,Chicago Bulls,96,Miami Heat,118
Mar. 11,Charlotte Hornets,118,Detroit Pistons,103
Mar. 11,Golden State Warriors,128,Portland Trail Blazers,112
Mar. 11,Los Angeles Clippers,101,New York Knicks,94
Mar. 11,Memphis Grizzlies,121,New Orleans Pelicans,114
Mar. 11,Oklahoma City Thunder,96,Minnesota Timberwolves,99
Mar. 11,Philadelphia 76ers,95,Brooklyn Nets,89
Mar. 11,Sacramento Kings,100,Orlando Magic,107
Mar. 11,Utah Jazz,114,Washington Wizards,93
Mar. 12,Atlanta Hawks,95,Memphis Grizzlies,83
Mar. 12,Charlotte Hornets,125,Houston Rockets,109
Mar. 12,Dallas Mavericks,105,Indiana Pacers,112
Mar. 12,Denver Nuggets,116,Washington Wizards,100
Mar. 12,Golden State Warriors,123,Phoenix Suns,116
Mar. 12,Milwaukee Bucks,103,New Orleans Pelicans,92
Mar. 12,Philadelphia 76ers,111,Detroit Pistons,125
Mar. 12,Portland Trail Blazers,121,Orlando Magic,84
Mar. 12,San Antonio Spurs,93,Oklahoma City Thunder,85
Mar. 12,Toronto Raptors,112,Miami Heat,104
Mar. 13,Atlanta Hawks,104,Indiana Pacers,75
Mar. 13,Brooklyn Nets,100,Milwaukee Bucks,109
Mar. 13,Los Angeles Clippers,90,Cleveland Cavaliers,114
Mar. 13,Los Angeles Lakers,87,New York Knicks,90
Mar. 13,Sacramento Kings,99,Utah Jazz,108
Mar. 14,Charlotte Hornets,96,Dallas Mavericks,107
Mar. 14,Golden State Warriors,125,New Orleans Pelicans,107
Mar. 14,Houston Rockets,130,Memphis Grizzlies,81
Mar. 14,Miami Heat,124,Denver Nuggets,119
Mar. 14,Oklahoma City Thunder,128,Portland Trail Blazers,94
Mar. 14,Phoenix Suns,107,Minnesota Timberwolves,104
Mar. 14,Toronto Raptors,107,Chicago Bulls,109
Mar. 14,Utah Jazz,94,Cleveland Cavaliers,85
Mar. 14,Washington Wizards,124,Detroit Pistons,81
Mar. 15,Brooklyn Nets,131,Philadelphia 76ers,114
Mar. 15,Indiana Pacers,103,Boston Celtics,98
Mar. 15,Los Angeles Lakers,98,Sacramento Kings,106
Mar. 15,Milwaukee Bucks,89,Toronto Raptors,107
Mar. 15,Orlando Magic,116,Denver Nuggets,110
Mar. 15,San Antonio Spurs,108,Los Angeles Clippers,87
Mar. 16,Boston Celtics,109,Oklahoma City Thunder,130
Mar. 16,Charlotte Hornets,107,Orlando Magic,99
Mar. 16,Cleveland Cavaliers,99,Dallas Mavericks,98
Mar. 16,Detroit Pistons,114,Atlanta Hawks,118
Mar. 16,Golden State Warriors,121,New York Knicks,85
Mar. 16,Houston Rockets,106,Los Angeles Clippers,122
Mar. 16,Memphis Grizzlies,108,Minnesota Timberwolves,114
Mar. 16,Sacramento Kings,108,New Orleans Pelicans,123
Mar. 16,Washington Wizards,117,Chicago Bulls,96
Mar. 17,Atlanta Hawks,116,Denver Nuggets,98
Mar. 17,Chicago Bulls,118,Brooklyn Nets,102
Mar. 17,Indiana Pacers,94,Toronto Raptors,101
Mar. 17,Miami Heat,106,Charlotte Hornets,109
Mar. 17,Milwaukee Bucks,96,Memphis Grizzlies,86
Mar. 17,Philadelphia 76ers,94,Washington Wizards,99
Mar. 17,San Antonio Spurs,118,Portland Trail Blazers,110
Mar. 17,Utah Jazz,103,Phoenix Suns,69
Mar. 18,Dallas Mavericks,112,Golden State Warriors,130
Mar. 18,Detroit Pistons,115,Sacramento Kings,108
Mar. 18,Houston Rockets,116,Minnesota Timberwolves,111
Mar. 18,Los Angeles Lakers,90,Phoenix Suns,95
Mar. 18,New Orleans Pelicans,112,Portland Trail Blazers,117
Mar. 18,Orlando Magic,103,Cleveland Cavaliers,109
Mar. 18,Philadelphia 76ers,97,Oklahoma City Thunder,111
Mar. 18,Toronto Raptors,105,Boston Celtics,91
Mar. 19,Atlanta Hawks,109,Houston Rockets,97
Mar. 19,Chicago Bulls,92,Utah Jazz,85
Mar. 19,Charlotte Hornets,93,Denver Nuggets,101
Mar. 19,Detroit Pistons,115,Brooklyn Nets,103
Mar. 19,Indiana Pacers,111,Oklahoma City Thunder,115
Mar. 19,Memphis Grizzlies,113,Los Angeles Clippers,102
Mar. 19,Miami Heat,122,Cleveland Cavaliers,101
Mar. 19,San Antonio Spurs,87,Golden State Warriors,79
Mar. 19,Washington Wizards,99,New York Knicks,89
Mar. 20,Dallas Mavericks,132,Portland Trail Blazers,120
Mar. 20,Milwaukee Bucks,85,Utah Jazz,94
Mar. 20,New Orleans Pelicans,109,Los Angeles Clippers,105
Mar. 20,New York Knicks,80,Sacramento Kings,88
Mar. 20,Philadelphia 76ers,105,Boston Celtics,120
Mar. 20,Toronto Raptors,105,Orlando Magic,100
Mar. 21,Atlanta Hawks,102,Washington Wizards,117
Mar. 21,Boston Celtics,107,Orlando Magic,96
Mar. 21,Chicago Bulls,109,Sacramento Kings,102
Mar. 21,Charlotte Hornets,91,San Antonio Spurs,88
Mar. 21,Cleveland Cavaliers,124,Denver Nuggets,91
Mar. 21,Detroit Pistons,92,Milwaukee Bucks,91
Mar. 21,Indiana Pacers,91,Philadelphia 76ers,75
Mar. 21,Minnesota Timberwolves,104,Golden State Warriors,109
Mar. 21,Phoenix Suns,97,Memphis Grizzlies,103
Mar. 22,Brooklyn Nets,100,Charlotte Hornets,105
Mar. 22,Los Angeles Lakers,107,Memphis Grizzlies,100
Mar. 22,New Orleans Pelicans,99,Miami Heat,113
Mar. 22,Oklahoma City Thunder,111,Houston Rockets,107
Mar. 23,Boston Celtics,91,Toronto Raptors,79
Mar. 23,Chicago Bulls,107,New York Knicks,115
Mar. 23,Cleveland Cavaliers,113,Milwaukee Bucks,104
Mar. 23,Denver Nuggets,104,Philadelphia 76ers,103
Mar. 23,Detroit Pistons,118,Orlando Magic,102
Mar. 23,Golden State Warriors,114,Los Angeles Clippers,98
Mar. 23,Houston Rockets,87,Utah Jazz,89
Mar. 23,Minnesota Timberwolves,113,Sacramento Kings,104
Mar. 23,Phoenix Suns,119,Los Angeles Lakers,107
Mar. 23,Portland Trail Blazers,109,Dallas Mavericks,103
Mar. 23,San Antonio Spurs,112,Miami Heat,88
Mar. 23,Washington Wizards,101,Atlanta Hawks,122
Mar. 24,Brooklyn Nets,104,Cleveland Cavaliers,95
Mar. 24,Indiana Pacers,92,New Orleans Pelicans,84
Mar. 24,Los Angeles Clippers,96,Portland Trail Blazers,94
Mar. 24,New York Knicks,106,Chicago Bulls,94
Mar. 24,Oklahoma City Thunder,113,Utah Jazz,91
Mar. 25,Atlanta Hawks,101,Milwaukee Bucks,90
Mar. 25,Detroit Pistons,112,Charlotte Hornets,105
Mar. 25,Golden State Warriors,128,Dallas Mavericks,120
Mar. 25,Houston Rockets,112,Toronto Raptors,109
Mar. 25,Los Angeles Lakers,105,Denver Nuggets,116
Mar. 25,Miami Heat,108,Orlando Magic,97
Mar. 25,Sacramento Kings,116,Phoenix Suns,94
Mar. 25,San Antonio Spurs,110,Memphis Grizzlies,104
Mar. 25,Washington Wizards,129,Minnesota Timberwolves,132
Mar. 26,Brooklyn Nets,120,Indiana Pacers,110
Mar. 26,Detroit Pistons,95,Atlanta Hawks,112
Mar. 26,Milwaukee Bucks,91,Charlotte Hornets,115
Mar. 26,Minnesota Timberwolves,84,Utah Jazz,93
Mar. 26,New Orleans Pelicans,91,Toronto Raptors,115
Mar. 26,New York Knicks,93,Cleveland Cavaliers,107
Mar. 26,Oklahoma City Thunder,111,San Antonio Spurs,92
Mar. 26,Orlando Magic,111,Chicago Bulls,89
Mar. 26,Phoenix Suns,99,Boston Celtics,102
Mar. 26,Portland Trail Blazers,108,Philadelphia 76ers,105
Mar. 27,Golden State Warriors,117,Philadelphia 76ers,105
Mar. 27,Indiana Pacers,104,Houston Rockets,101
Mar. 27,Los Angeles Clippers,105,Denver Nuggets,90
Mar. 27,Los Angeles Lakers,88,Washington Wizards,101
Mar. 27,Sacramento Kings,133,Dallas Mavericks,111
Mar. 28,Chicago Bulls,100,Atlanta Hawks,102
Mar. 28,Denver Nuggets,88,Dallas Mavericks,97
Mar. 28,Los Angeles Clippers,114,Boston Celtics,90
Mar. 28,Memphis Grizzlies,87,San Antonio Spurs,101
Mar. 28,Miami Heat,110,Brooklyn Nets,99
Mar. 28,Minnesota Timberwolves,121,Phoenix Suns,116
Mar. 28,New Orleans Pelicans,99,New York Knicks,91
Mar. 28,Portland Trail Blazers,105,Sacramento Kings,93
Mar. 28,Toronto Raptors,100,Oklahoma City Thunder,119
Mar. 28,Utah Jazz,123,Los Angeles Lakers,75
Mar. 29,Cleveland Cavaliers,100,Houston Rockets,106
Mar. 29,Detroit Pistons,88,Oklahoma City Thunder,82
Mar. 29,Golden State Warriors,102,Washington Wizards,94
Mar. 29,Indiana Pacers,96,Chicago Bulls,98
Mar. 29,Orlando Magic,139,Brooklyn Nets,105
Mar. 29,Philadelphia 76ers,85,Charlotte Hornets,100
Mar. 30,Dallas Mavericks,91,New York Knicks,89
Mar. 30,Los Angeles Lakers,102,Miami Heat,100
Mar. 30,Memphis Grizzlies,105,Denver Nuggets,109
Mar. 30,Milwaukee Bucks,105,Phoenix Suns,94
Mar. 30,Minnesota Timberwolves,79,Los Angeles Clippers,99
Mar. 30,Sacramento Kings,120,Washington Wizards,111
Mar. 30,San Antonio Spurs,100,New Orleans Pelicans,92
Mar. 30,Toronto Raptors,105,Atlanta Hawks,97
Mar. 30,Utah Jazz,96,Golden State Warriors,103
Mar. 31,Cleveland Cavaliers,107,Brooklyn Nets,87
Mar. 31,Houston Rockets,100,Chicago Bulls,103
Mar. 31,Indiana Pacers,94,Orlando Magic,114
Mar. 31,New Orleans Pelicans,101,Denver Nuggets,95
Mar. 31,Oklahoma City Thunder,119,Los Angeles Clippers,117
Mar. 31,Portland Trail Blazers,116,Boston Celtics,109
Apr. 1,Atlanta Hawks,108,Cleveland Cavaliers,110
Apr. 1,Charlotte Hornets,100,Philadelphia 76ers,91
Apr. 1,Detroit Pistons,89,Dallas Mavericks,98
Apr. 1,Golden State Warriors,106,Boston Celtics,109
Apr. 1,Memphis Grizzlies,95,Toronto Raptors,99
Apr. 1,Milwaukee Bucks,113,Orlando Magic,110
Apr. 1,New York Knicks,105,Brooklyn Nets,91
Apr. 1,Phoenix Suns,99,Washington Wizards,106
Apr. 1,Sacramento Kings,106,Miami Heat,112
Apr. 1,Utah Jazz,98,Minnesota Timberwolves,85
Apr. 2,Chicago Bulls,90,Detroit Pistons,94
Apr. 2,Denver Nuggets,106,Sacramento Kings,115
Apr. 2,Philadelphia 76ers,102,Indiana Pacers,115
Apr. 2,Portland Trail Blazers,110,Miami Heat,93
Apr. 2,San Antonio Spurs,102,Toronto Raptors,95
Apr. 3,Brooklyn Nets,87,New Orleans Pelicans,106
Apr. 3,Cleveland Cavaliers,112,Charlotte Hornets,103
Apr. 3,Golden State Warriors,136,Portland Trail Blazers,111
Apr. 3,Houston Rockets,118,Oklahoma City Thunder,110
Apr. 3,Los Angeles Clippers,114,Washington Wizards,109
Apr. 3,Los Angeles Lakers,100,Boston Celtics,107
Apr. 3,Milwaukee Bucks,98,Chicago Bulls,102
Apr. 3,Minnesota Timberwolves,78,Dallas Mavericks,88
Apr. 3,New York Knicks,87,Indiana Pacers,92
Apr. 3,Orlando Magic,119,Memphis Grizzlies,107
Apr. 3,Phoenix Suns,86,Utah Jazz,101
Apr. 5,Atlanta Hawks,103,Phoenix Suns,90
Apr. 5,Denver Nuggets,102,Oklahoma City Thunder,124
Apr. 5,Golden State Warriors,117,Minnesota Timberwolves,124
Apr. 5,Los Angeles Clippers,103,Los Angeles Lakers,81
Apr. 5,Memphis Grizzlies,108,Chicago Bulls,92
Apr. 5,Miami Heat,107,Detroit Pistons,89
Apr. 5,Milwaukee Bucks,80,Cleveland Cavaliers,109
Apr. 5,Philadelphia 76ers,107,New Orleans Pelicans,93
Apr. 5,Sacramento Kings,107,Portland Trail Blazers,115
Apr. 5,Toronto Raptors,96,Charlotte Hornets,90
Apr. 5,Utah Jazz,86,San Antonio Spurs,88
Apr. 6,Boston Celtics,104,New Orleans Pelicans,97
Apr. 6,Dallas Mavericks,88,Houston Rockets,86
Apr. 6,Indiana Pacers,123,Cleveland Cavaliers,109
Apr. 6,Los Angeles Lakers,81,Los Angeles Clippers,91
Apr. 6,New York Knicks,97,Charlotte Hornets,111
Apr. 6,Orlando Magic,104,Detroit Pistons,108
Apr. 6,Portland Trail Blazers,120,Oklahoma City Thunder,115
Apr. 6,Washington Wizards,121,Brooklyn Nets,103
Apr. 7,Atlanta Hawks,95,Toronto Raptors,87
Apr. 7,Golden State Warriors,112,San Antonio Spurs,101
Apr. 7,Houston Rockets,115,Phoenix Suns,124
Apr. 7,Miami Heat,106,Chicago Bulls,98
Apr. 7,Sacramento Kings,97,Minnesota Timberwolves,105
Apr. 8,Boston Celtics,124,Milwaukee Bucks,109
Apr. 8,Charlotte Hornets,113,Brooklyn Nets,99
Apr. 8,Dallas Mavericks,103,Memphis Grizzlies,93
Apr. 8,Denver Nuggets,102,San Antonio Spurs,98
Apr. 8,Detroit Pistons,112,Washington Wizards,99
Apr. 8,New Orleans Pelicans,110,Los Angeles Lakers,102
Apr. 8,Orlando Magic,112,Miami Heat,109
Apr. 8,Philadelphia 76ers,102,New York Knicks,109
Apr. 8,Toronto Raptors,111,Indiana Pacers,98
Apr. 8,Utah Jazz,99,Los Angeles Clippers,102
Apr. 9,Atlanta Hawks,118,Boston Celtics,107
Apr. 9,Chicago Bulls,105,Cleveland Cavaliers,102
Apr. 9,Memphis Grizzlies,99,Golden State Warriors,100
Apr. 9,New Orleans Pelicans,100,Phoenix Suns,121
Apr. 9,Portland Trail Blazers,105,Minnesota Timberwolves,106
Apr. 9,Sacramento Kings,114,Oklahoma City Thunder,112
Apr. 10,Denver Nuggets,84,Utah Jazz,100
Apr. 10,Houston Rockets,130,Los Angeles Lakers,110
Apr. 10,Indiana Pacers,129,Brooklyn Nets,105
Apr. 10,Los Angeles Clippers,98,Dallas Mavericks,91
Apr. 10,Miami Heat,118,Orlando Magic,96
Apr. 10,New York Knicks,89,Toronto Raptors,93
Apr. 10,Philadelphia 76ers,108,Milwaukee Bucks,109
Apr. 10,San Antonio Spurs,86,Golden State Warriors,92
Apr. 10,Washington Wizards,113,Charlotte Hornets,98
Apr. 11,Boston Celtics,100,Charlotte Hornets,114
Apr. 11,Brooklyn Nets,111,Washington Wizards,120
Apr. 11,Cleveland Cavaliers,109,Atlanta Hawks,94
Apr. 11,Minnesota Timberwolves,105,Houston Rockets,129
Apr. 11,New Orleans Pelicans,116,Chicago Bulls,121
Apr. 11,Oklahoma City Thunder,112,Los Angeles Lakers,79
Apr. 11,Orlando Magic,107,Milwaukee Bucks,98
Apr. 11,Phoenix Suns,101,Sacramento Kings,105
Apr. 11,Utah Jazz,92,Dallas Mavericks,101
Apr. 12,Detroit Pistons,93,Miami Heat,99
Apr. 12,Indiana Pacers,102,New York Knicks,90
Apr. 12,Los Angeles Clippers,110,Memphis Grizzlies,84
Apr. 12,San Antonio Spurs,102,Oklahoma City Thunder,98
Apr. 12,Toronto Raptors,122,Philadelphia 76ers,98
Apr. 13,Boston Celtics,98,Miami Heat,88
Apr. 13,Brooklyn Nets,96,Toronto Raptors,103
Apr. 13,Chicago Bulls,115,Philadelphia 76ers,105
Apr. 13,Charlotte Hornets,117,Orlando Magic,103
Apr. 13,Cleveland Cavaliers,110,Detroit Pistons,112
Apr. 13,Dallas Mavericks,91,San Antonio Spurs,96
Apr. 13,Golden State Warriors,125,Memphis Grizzlies,104
Apr. 13,Houston Rockets,116,Sacramento Kings,81
Apr. 13,Los Angeles Lakers,101,Utah Jazz,96
Apr. 13,Milwaukee Bucks,92,Indiana Pacers,97
Apr. 13,Minnesota Timberwolves,144,New Orleans Pelicans,109
Apr. 13,Phoenix Suns,114,Los Angeles Clippers,105
Apr. 13,Portland Trail Blazers,107,Denver Nuggets,99
Apr. 13,Washington Wizards,109,Atlanta Hawks,98
